id,ano,mês,dia,hora,Temp_C,Temp_Apar_C,Hum_Abs,Hum_Rel,Press_Abs_mBar,,
3,2017,9,22,11:05:02,19.31,19.28,550.4,76.24,744.42,0,11:05:02 AM
3,2017,9,22,11:35:02,19.49,19.49,749.5,76.58,1014.32,0,
3,2017,9,22,12:05:02,19.52,19.49,749.44,75.02,1014.35,0,
3,2017,9,22,12:35:02,19.33,19.27,749.87,74.76,1014.27,0,
3,2017,9,22,13:05:02,19.21,19.15,750.29,75.3,1014.43,0,
3,2017,9,22,13:35:02,19.03,18.98,750.63,76.26,1014.26,0,
3,2017,9,22,14:05:02,19.09,19.06,750.45,76.55,1014.24,0,
3,2017,9,22,14:35:02,19,18.95,750.74,76.7,1014.3,0,
3,2017,9,22,15:05:02,18.93,18.89,750.88,76.86,1014.27,0,
3,2017,9,22,15:35:02,18.97,18.93,750.78,76.95,1014.24,0,
3,2017,9,22,16:05:02,18.91,18.88,751.01,77.33,1014.37,0,
3,2017,9,22,16:35:02,18.77,18.72,751.43,77.2,1014.45,0,
3,2017,9,22,17:05:02,18.23,18.15,752.72,78.23,1014.3,0,
3,2017,9,22,17:35:02,17.99,17.93,753.34,79.69,1014.32,0,
3,2017,9,22,18:05:02,17.87,17.83,753.63,80.76,1014.3,0,
3,2017,9,22,18:35:02,17.75,17.7,754.07,81.33,1014.44,0,
3,2017,9,22,19:05:02,17.75,17.71,754.04,81.61,1014.4,0,
3,2017,9,22,19:35:02,17.87,17.85,753.74,81.59,1014.45,0,
3,2017,9,22,20:05:02,17.73,17.69,754.07,81.46,1014.41,0,
3,2017,9,22,20:35:02,17.82,17.79,,81.68,1014.37,0,
3,2017,9,22,21:05:02,17.87,17.84,,81.49,1014.35,0,
3,2017,9,22,21:35:02,17.83,17.8,,81.4,1014.41,0,
3,2017,9,22,22:05:02,17.9,17.87,,81.48,1014.38,0,
3,2017,9,22,22:35:02,17.77,17.72,,81.27,1014.43,0,
3,2017,9,22,23:05:02,17.85,17.83,,81.7,1014.44,0,
3,2017,9,22,23:35:02,17.85,17.81,,,,0,
3,2017,9,23,00:05:02,17.91,17.88,,,,0,
3,2017,9,23,00:35:02,17.82,,,,,,
3,2017,9,23,01:05:02,17.68,,,,,,
