Timestamp,Temp_C,Temp_Apar_C,Hum_Abs,Hum_Rel,Press_Abs_mBar,Rad_Sol,LUX,Vol_Bat
2016/10/28-19:45:02,23.26,24.09,546.27,93.61,748.81,0,0.00,246
2016/10/28-20:00:02,23.19,23.80,744.55,85.61,1020.34,0,0.00,444
2016/10/28-20:15:02,22.52,23.17,746.29,89.84,1020.40,0,0.00,448
2016/10/28-20:30:02,22.17,22.88,747.14,93.36,1020.39,0,0.00,448
2016/10/28-20:45:02,21.87,22.58,747.75,94.14,1020.19,0,0.00,457
2016/10/28-21:00:02,21.57,22.34,748.63,97.80,1020.36,0,0.00,466
2016/10/28-21:15:02,21.31,22.09,749.42,99.35,1020.50,0,0.00,470
2016/10/28-21:30:02,21.15,21.95,749.77,100.97,1020.43,0,0.00,483
2016/10/28-21:45:02,20.87,21.78,750.47,106.08,1020.41,0,0.00,497
2016/10/28-22:00:02,20.70,21.57,750.93,105.08,1020.45,0,0.00,501
2016/10/28-22:15:02,20.41,21.30,751.61,107.20,1020.37,0,0.00,505
2016/10/28-22:30:02,20.22,21.09,752.23,107.01,1020.54,0,0.00,510
2016/10/28-22:45:02,19.98,20.89,752.79,109.40,1020.49,0,0.00,519
2016/10/28-23:00:02,19.75,20.67,753.45,110.91,1020.56,0,0.00,519
2016/10/28-23:15:02,19.57,20.41,753.83,108.14,1020.48,0,0.00,514
2016/10/28-23:30:02,19.37,20.25,754.40,110.39,1020.54,0,0.00,519
2016/10/28-23:45:02,19.16,20.14,755.04,115.20,1020.66,0,0.00,527
2016/10/29-00:00:02,18.97,16.77,755.52,-5.73,1020.64,0,0.00,532
2016/10/29-00:15:02,18.73,16.51,756.11,-5.59,1020.62,0,0.00,536
2016/10/29-00:30:02,18.49,16.33,756.79,-2.57,1020.71,0,0.00,541
2016/10/29-00:45:02,18.22,19.00,757.33,111.16,1020.47,0,0.00,527
2016/10/29-01:00:02,17.97,18.82,757.94,114.82,1020.43,0,0.00,527
2016/10/29-01:15:02,17.85,18.60,758.21,111.45,1020.38,0,0.00,527
2016/10/29-01:30:02,17.72,15.64,758.61,3.22,1020.47,0,0.00,541
2016/10/29-01:45:02,17.51,15.22,759.02,-3.83,1020.28,0,0.00,541
2016/10/29-02:00:02,17.27,14.93,759.62,-4.88,1020.26,0,0.00,536
2016/10/29-02:15:02,17.17,14.96,759.73,0.61,1020.03,0,0.00,549
2016/10/29-02:30:02,17.08,14.71,759.94,-5.06,1020.01,0,0.00,532
2016/10/29-02:45:02,17.05,14.67,759.84,-5.25,1019.77,0,0.00,541
2016/10/29-03:00:02,16.92,14.57,760.20,-3.92,1019.80,0,0.00,541
2016/10/29-03:15:02,16.86,14.57,760.25,-1.06,1019.64,0,0.00,541
2016/10/29-03:30:02,16.71,14.28,760.76,-5.97,1019.80,0,0.00,536
2016/10/29-03:45:02,16.46,17.20,761.61,116.47,1020.07,0,0.00,536
2016/10/29-04:00:02,16.40,14.09,761.54,-0.29,1019.76,0,0.00,541
2016/10/29-04:15:02,16.32,13.89,761.70,-4.50,1019.71,0,0.00,541
2016/10/29-04:30:02,16.25,13.95,761.98,1.01,1019.82,0,0.00,545
2016/10/29-04:45:02,15.93,13.53,762.69,-1.68,1019.64,0,0.00,554
2016/10/29-05:00:02,15.91,13.77,762.88,8.51,1019.81,0,0.00,558
2016/10/29-05:15:02,15.82,13.71,763.08,9.83,1019.78,0,0.00,554
2016/10/29-05:30:02,15.66,13.50,763.63,8.26,1019.95,0,0.00,549
2016/10/29-05:45:02,15.52,13.37,764.03,9.08,1020.00,0,0.00,549
2016/10/29-06:00:02,15.47,13.40,764.12,12.82,1019.93,0,0.00,558
2016/10/29-06:15:02,15.29,13.14,764.54,10.24,1019.85,0,0.00,549
2016/10/29-06:30:02,15.24,13.10,764.64,10.64,1019.83,0,0.00,554
2016/10/29-06:45:02,15.15,13.02,764.96,11.74,1019.91,0,0.00,545
2016/10/29-07:00:02,15.16,13.04,764.85,12.10,1019.81,0,0.00,554
2016/10/29-07:15:02,15.10,12.98,765.23,11.91,1020.13,0,0.00,558
2016/10/29-07:30:02,14.93,12.71,765.53,8.64,1019.92,0,0.00,554
2016/10/29-07:45:02,15.01,12.90,765.41,12.91,1020.03,0,926.00,659
2016/10/29-08:00:02,15.07,12.95,765.39,12.23,1020.22,0,2718.00,835
2016/10/29-08:15:02,14.99,12.86,765.63,12.07,1020.24,0,4606.00,1016
2016/10/29-08:30:02,15.06,12.87,765.57,9.39,1020.43,0,5214.00,1082
2016/10/29-08:45:02,15.29,13.20,765.10,12.63,1020.59,0,7670.28,1236
2016/10/29-09:00:02,15.66,13.65,764.18,14.05,1020.69,0,13596.20,1390
2016/10/29-09:15:02,16.23,14.26,762.76,13.49,1020.78,0,20881.01,1539
2016/10/29-09:30:02,17.25,15.38,760.07,13.04,1020.79,0,27360.92,1649
