Timestamp,Temp_C,Temp_Apar_C,Hum_Abs,Hum_Rel,Press_Abs_mBar,Rad_Sol,LUX,Vol_Bat
2017/09/26-19:48:02,16.46,16.84,559.08,102.56,748.81,0,670.00,413
2017/09/26-20:03:02,17.02,17.32,551.11,97.49,739.55,0,0.00,461
2017/09/26-20:18:02,16.30,16.58,552.96,99.16,740.21,0,0.00,453
2017/09/26-20:33:02,15.62,15.91,553.66,102.31,739.39,0,0.00,453
2017/09/26-20:48:02,14.88,15.23,554.54,107.45,738.68,0,0.00,457
2017/09/26-21:03:02,14.74,15.05,554.03,106.59,737.65,0,0.00,475
2017/09/26-21:18:02,14.39,14.70,554.73,108.11,737.67,0,0.00,492
2017/09/26-21:33:02,14.03,14.38,555.01,110.45,737.14,0,0.00,519
2017/09/26-21:48:02,13.82,14.15,555.14,110.87,736.76,0,0.00,527
2017/09/26-22:03:02,13.31,13.63,555.97,112.36,736.55,0,0.00,545
2017/09/26-22:18:02,13.11,13.48,555.92,114.90,735.99,0,0.00,563
2017/09/26-22:33:02,13.08,13.46,555.78,115.30,735.72,0,0.00,576
2017/09/26-23:03:02,12.32,12.66,556.93,116.67,735.29,0,0.00,585
2017/09/26-23:18:02,12.19,12.54,556.84,117.61,734.84,0,0.00,593
2017/09/26-23:33:02,12.53,9.74,556.07,-3.61,734.68,0,0.00,611
2017/09/26-23:48:02,12.81,10.04,555.77,-4.25,735.02,0,0.00,611
2017/09/27-00:03:02,12.48,12.82,556.78,116.19,735.51,0,0.00,615
2017/09/27-00:18:02,12.04,12.37,557.31,117.37,735.08,0,0.00,615
2017/09/27-00:33:02,11.70,12.03,557.60,118.74,734.58,0,0.00,615
2017/09/27-00:48:02,11.37,8.42,557.96,-5.52,734.20,0,0.00,620
2017/09/27-01:03:02,11.21,8.29,557.95,-3.83,733.78,0,0.00,620
2017/09/27-01:18:02,10.99,8.03,558.29,-4.30,733.64,0,0.00,624
2017/09/27-01:33:02,10.70,7.70,558.63,-4.66,733.35,0,0.00,629
2017/09/27-01:48:02,10.40,7.37,558.99,-4.72,733.04,0,0.00,629
2017/09/27-02:03:02,10.22,7.18,559.03,-4.43,732.63,0,0.00,633
2017/09/27-02:18:02,9.94,6.88,559.43,-4.01,732.44,0,0.00,637
2017/09/27-02:33:02,9.73,6.66,559.64,-4.06,732.18,0,0.00,629
2017/09/27-02:48:02,9.54,6.42,559.80,-4.99,731.89,0,0.00,633
2017/09/27-03:03:02,9.45,6.36,559.86,-3.12,731.73,0,94.00,646
2017/09/27-03:18:02,9.30,6.20,560.14,-3.12,731.70,0,94.00,655
2017/09/27-03:33:02,9.09,5.97,560.31,-3.15,731.40,0,158.00,659
2017/09/27-03:48:02,9.03,5.94,560.33,-1.66,731.26,0,158.00,664
2017/09/27-04:03:02,8.77,5.59,560.75,-4.25,731.15,0,190.00,673
2017/09/27-04:18:02,8.61,5.44,560.86,-3.16,730.88,0,222.00,668
2017/09/27-04:33:02,8.49,5.34,560.93,-2.36,730.66,0,414.00,686
2017/09/27-04:48:02,8.44,5.33,560.95,-0.27,730.55,0,382.00,686
2017/09/27-05:03:02,8.22,5.02,561.31,-2.80,730.43,0,382.00,690
2017/09/27-05:18:02,8.24,5.09,561.09,-1.16,730.21,0,414.00,695
2017/09/27-05:33:02,8.12,4.95,561.33,-1.37,730.21,0,318.00,681
2017/09/27-05:48:02,8.01,4.83,561.47,-1.54,730.11,0,478.00,699
2017/09/27-06:03:02,7.95,4.77,561.49,-1.25,729.97,0,478.00,699
2017/09/27-06:18:02,7.74,4.53,561.82,-1.67,729.88,0,510.00,708
2017/09/27-06:33:02,7.64,4.41,561.90,-1.80,729.70,0,702.00,721
2017/09/27-06:48:02,7.51,4.28,562.01,-1.53,729.52,0,894.00,739
2017/09/27-07:03:02,7.43,4.19,562.06,-1.51,729.39,0,1246.00,782
2017/09/27-07:18:02,7.33,4.07,562.22,-1.82,729.32,0,2302.00,879
2017/09/27-07:33:02,7.37,4.13,562.08,-1.16,729.25,0,3998.00,1046
2017/09/27-07:48:02,7.51,4.31,561.83,-0.20,729.28,0,4990.00,1148
2017/09/27-08:03:02,7.77,4.63,561.39,1.26,729.37,0,10441.06,1394
2017/09/27-08:18:02,8.19,5.09,560.76,0.92,729.66,0,6238.00,1315
